,Link,Name,Genre,url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation
0,https://scratch.mit.edu/projects/129177311,Save The Atmosphere!,Swipe Elimination,,,,,,,,,,
1,,,,https://scratch.mit.edu/projects/129177311/,Save the Atmosphere!.sb3,19.0,1/3,3/3,3/3,3/3,3/3,3/3,3/3
2,https://scratch.mit.edu/projects/142790748,Albedo Pong,Pong,,,,,,,,,,
3,,,,https://scratch.mit.edu/projects/142790748/,Albedo Pong.sb3,15.0,1/3,1/3,3/3,2/3,2/3,3/3,3/3
4,https://scratch.mit.edu/projects/143170691,Carbon Crusher,Puzzle,,,,,,,,,,
5,,,,https://scratch.mit.edu/projects/143170691/,Carbon Crusher.sb3,21.0,3/3,3/3,3/3,3/3,3/3,3/3,3/3
6,https://scratch.mit.edu/projects/165070872,Carbon Clicker,Storytelling,,,,,,,,,,
7,,,,https://scratch.mit.edu/projects/165070872/,Carbon Clicker.sb3,14.0,1/3,3/3,1/3,3/3,2/3,2/3,2/3
8,https://scratch.mit.edu/projects/210270408,Per Earth!,Simulation,,,,,,,,,,
9,,,,https://scratch.mit.edu/projects/210270408/,Pet Earth!.sb3,8.0,1/3,2/3,1/3,0/3,1/3,2/3,1/3
10,https://scratch.mit.edu/projects/212068226,Ice Cap Hero!,Shooter,,,,,,,,,,
11,,,,https://scratch.mit.edu/projects/212068226/,Ice Cap Hero!.sb3,21.0,3/3,3/3,3/3,3/3,3/3,3/3,3/3
12,https://scratch.mit.edu/projects/213257497,CO2 Pacman,Maze,,,,,,,,,,
13,,,,https://scratch.mit.edu/projects/213257497/,Anjali and Mariana-3.sb3,19.0,3/3,3/3,1/3,3/3,3/3,3/3,3/3
14,https://scratch.mit.edu/projects/213497977,Plants vs Zomseas,Clicker,,,,,,,,,,
15,,,,https://scratch.mit.edu/projects/213497977/,heewon and audrey.sb3,21.0,3/3,3/3,3/3,3/3,3/3,3/3,3/3
16,https://scratch.mit.edu/projects/213865007,Eco Friendly Choices,Quiz,,,,,,,,,,
17,,,,https://scratch.mit.edu/projects/213865007/,Amanda and Joyce-2.sb3,14.0,1/3,3/3,0/3,3/3,2/3,3/3,2/3
18,https://scratch.mit.edu/projects/218168859,Adventures of TreeGuy,Platform,,,,,,,,,,
19,,,,https://scratch.mit.edu/projects/218168859/,Adventures of TreeGuy.sb3,21.0,3/3,3/3,3/3,3/3,3/3,3/3,3/3
