url,filename,number,sprite,deadCode1,deadCode2,deadCode3,deadCode4,deadCode5,deadCode6,deadCode7,deadCode8,deadCode9,deadCode10,deadCode11,deadCode12,deadCode13,deadCode14,deadCode15,deadCode16,deadCode17,deadCode18,deadCode19,deadCode20,deadCode21
,Carbon Clicker.sb3,1,Boulder,if <> then,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Adventures of TreeGuy.sb3,3,Bad Person,point in direction (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Adventures of TreeGuy.sb3,3,Bad Person 3,() = (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Adventures of TreeGuy.sb3,3,Sprite1,when I receive [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Save the Atmosphere!.sb3,17,Stage,if <> then,change [ v] effect by (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Save the Atmosphere!.sb3,17,Tree1,forever,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Save the Atmosphere!.sb3,17,Bus,forever,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Save the Atmosphere!.sb3,17,Sprite1,forever,stop [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Save the Atmosphere!.sb3,17,Bus2,forever,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Save the Atmosphere!.sb3,17,Bus3,forever,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Save the Atmosphere!.sb3,17,Sprite2,touching color ()?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Save the Atmosphere!.sb3,17,Sprite5,if <> then,forever,stop [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Save the Atmosphere!.sb3,17,Sprite3,() > (),forever,stop [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Save the Atmosphere!.sb3,17,Sprite4,forever,stop [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Ice Cap Hero!.sb3,5,ship,hide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Ice Cap Hero!.sb3,5,Co2,wait () seconds,wait () seconds,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Ice Cap Hero!.sb3,5,Game Over,if <> then,() > (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Carbon Crusher.sb3,3,Stage,if <> then,if <> then,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Carbon Crusher.sb3,3,PowerQty,show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Amanda and Joyce-2.sb3,1,Button5,switch backdrop to ( v),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,Stage,stop [ v],next backdrop,repeat (),set [ v] effect to (),if <> then,if <> then,switch backdrop to ( v),repeat until <>,repeat until <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,startbutton,wait () seconds,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,transition,() + (),go to x: () y: (),if <> then,if <> then,<> and <>,() * (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,unmute,if <> then,if <> then,wait until <>,stop all sounds,<> and <>,if <> then,if <> then,go to [ v] layer,switch costume to ( v),set volume to ()%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,mute,if <> then,if <> then,wait until <>,stop all sounds,<> and <>,switch costume to ( v),if <> then,if <> then,set volume to ()%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,howto,go to x: () y: (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,oktutorial,go to x: () y: (),if <> then,if <> then,when I receive [ v],mouse down?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,okstart,go to x: () y: (),mouse down?,if <> then,if <> then,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,Nano,show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,Saxophone,repeat (),change tempo by (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,Drum1,forever,wait () seconds,rest for () beats,rest for () beats,wait () seconds,rest for () beats,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,Sprite1,play note () for () beats,play note () for () beats,play drum ( v) for () beats,play note () for () beats,play drum ( v) for () beats,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,Watermelon,show,when I receive [ v],wait until <>,repeat (),repeat (),change size by (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,bobtag,forever,forever,change [ v] by (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wallistag,go to x: () y: (),go to x: () y: (),hide,change [ v] by (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper,go to x: () y: (),go to x: () y: (),go to x: () y: (),change [ v] by (),go [ v] () layers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,crewtut,repeat (),repeat (),hide,wait until <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,momwallis,if <> then,if <> then,change [ v] by (),delete () of [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wspawn21,if <> then,if <> then,go to x: () y: (),go to x: () y: (),go to x: () y: (),switch costume to ( v),() * (),() = (),touching ( v)?,set [ v] effect to (),distance to ( v),stop [ v],() = (),wait until <>,go to x: () y: (),repeat until <>,when I receive [ v],when I receive [ v],[ v] contains ()?,add () to [ v],N/A
,heewon and audrey.sb3,707,wspawn22,if <> then,if <> then,go to x: () y: (),go to x: () y: (),go to x: () y: (),switch costume to ( v),() * (),() = (),touching ( v)?,set [ v] effect to (),distance to ( v),stop [ v],() = (),wait until <>,go to x: () y: (),repeat until <>,when I receive [ v],when I receive [ v],[ v] contains ()?,N/A,N/A
,heewon and audrey.sb3,707,wspawn23,go to x: () y: (),switch costume to ( v),() * (),() = (),touching ( v)?,() = (),repeat until <>,show,[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wspawn24,if <> then,if <> then,go to x: () y: (),go to x: () y: (),go to x: () y: (),switch costume to ( v),() * (),() = (),touching ( v)?,distance to ( v),() = (),go to x: () y: (),repeat until <>,when I receive [ v],touching ( v)?,show,[ v] contains ()?,[ v] contains ()?,add () to [ v],N/A,N/A
,heewon and audrey.sb3,707,wallis21,if <> then,if <> then,stop [ v],delete word (),<> or <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wallis22,change [ v] by (),if <> then,if <> then,stop [ v],delete word (),<> or <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wallis23,change [ v] by (),if <> then,if <> then,stop [ v],delete word (),<> or <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,wallis24,[ v] contains ()?,delete () of [ v],delete word (),<> or <>,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pew21,touching ( v)?,y position,glide () secs to x: () y: (),repeat until <>,repeat until <>,if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),create clone of ( v),forever,() + (),switch costume to ( v),change [ v] effect by (),touching ( v)?,change [ v] by (),<> or <>,N/A,N/A
,heewon and audrey.sb3,707,pew22,create clone of ( v),touching ( v)?,y position,() + (),glide () secs to x: () y: (),repeat until <>,repeat until <>,stop [ v],change [ v] effect by (),if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),switch costume to ( v),hide,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pew23,create clone of ( v),touching ( v)?,y position,() + (),glide () secs to x: () y: (),repeat until <>,repeat until <>,stop [ v],change [ v] effect by (),if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),switch costume to ( v),N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pew24,create clone of ( v),touching ( v)?,y position,() + (),glide () secs to x: () y: (),stop [ v],change [ v] effect by (),if <> then,if <> then,forever,if <> then,if <> then,set [ v] to (),switch costume to ( v),touching ( v)?,touching ( v)?,repeat until <>,repeat until <>,N/A,N/A,N/A
,heewon and audrey.sb3,707,mompiper,change [ v] by (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn21,when I receive [ v],hide,stop [ v],[ v] contains ()?,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn22,stop [ v],stop [ v],add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn23,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,pspawn24,add () to [ v],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper21,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],set size to () %,show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper22,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper23,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,piper24,create clone of ( v),repeat until <>,when I start as a clone,when I receive [ v],show,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,bob,touching color ()?,<> and <>,<> or <>,touching ( v)?,touching ( v)?,show,stop [ v],stop [ v],forever,forever,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,bob2,touching color ()?,<> and <>,<> or <>,touching ( v)?,touching ( v)?,stop [ v],when I start as a clone,switch costume to ( v),if <> then,delete this clone,forever,forever,go to x: () y: (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,mombob,go to x: () y: (),change [ v] by (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,z21,stop [ v],if <> then,forever,forever,when I receive [ v],when I receive [ v],forever,forever,if <> then,if <> then,if <> then,pick random () to (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,z22,stop [ v],if <> then,forever,forever,when I receive [ v],when I receive [ v],forever,forever,if <> then,if <> then,() = (),if <> then,pick random () to (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,z23,stop [ v],if <> then,forever,forever,when I receive [ v],when I receive [ v],forever,forever,if <> then,if <> then,() = (),if <> then,pick random () to (),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,heewon and audrey.sb3,707,Buildings2,touching ( v)?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
