url,filename,number,spriteNaming1,spriteNaming2,spriteNaming3,spriteNaming4,spriteNaming5,spriteNaming6,spriteNaming7,spriteNaming8,spriteNaming9,spriteNaming10,spriteNaming11,spriteNaming12,spriteNaming13,spriteNaming14,spriteNaming15
,birdygethem.sb3,0,,,,,,,,,,,,,,,
,GAME SUMMERS TIRABASSI.sb3,0,,,,,,,,,,,,,,,
,Cloud collectors .sb3,0,,,,,,,,,,,,,,,
,ocean climate .sb3,0,,,,,,,,,,,,,,,
,Deforestation.sb3,0,,,,,,,,,,,,,,,
,Roy_ A Life Well Lived.sb3,0,,,,,,,,,,,,,,,
,snowflake collect.sb3,0,,,,,,,,,,,,,,,
,Lumberjack Attack.sb3,0,,,,,,,,,,,,,,,
,Harsh Tree Why Me..sb3,1,Sprite2,,,,,,,,,,,,,,
,Temperature Changes.sb3,1,Sprite3,,,,,,,,,,,,,,
,Co2 Collector.sb3,0,,,,,,,,,,,,,,,
,Save Snows and Pennys Home! (Multiplayer).sb3,0,,,,,,,,,,,,,,,
,Trees vs CO2.sb3,10,Sprite1,Sprite4,Sprite5,Sprite2,Sprite6,Sprite7,Sprite8,Sprite9,Sprite10,Sprite11,,,,,
,Chasing CO2.sb3,0,,,,,,,,,,,,,,,
,Deflecting UV Rays.sb3,2,Sprite2,Sprite1,,,,,,,,,,,,,
,✨ Cow Fartopia ✨ [DEMO].sb3,2,Sprite1,Sprite2,,,,,,,,,,,,,
,capture the CO2.sb3,0,,,,,,,,,,,,,,,
,climate change Co2.sb3,0,,,,,,,,,,,,,,,
,Co2 Clouds Game.sb3,0,,,,,,,,,,,,,,,
,COLLECT THE CO2            .sb3,0,,,,,,,,,,,,,,,
,♥crazy cows♥.sb3,15,Sprite2,Sprite3,Sprite5,Sprite6,Sprite7,Sprite8,Sprite9,Sprite4,Sprite1,Sprite11,Sprite12,Sprite10,Sprite13,Sprite14,Sprite15
,climate change game.sb3,0,,,,,,,,,,,,,,,
,reducing co2 maze by madi and paige.sb3,0,,,,,,,,,,,,,,,
,Catch the Monkey.sb3,8,Sprite1,Sprite3,Sprite4,Sprite5,Sprite2,Sprite6,Sprite7,Sprite8,,,,,,,
,Co2 Game.sb3,0,,,,,,,,,,,,,,,
,Impacts on wildlife.sb3,3,Sprite1,Sprite2,Sprite3,,,,,,,,,,,,
,Oxygen VS CO2-Climate Change.sb3,0,,,,,,,,,,,,,,,
,A Day of Choices  .sb3,0,,,,,,,,,,,,,,,
,Deforestation (1).sb3,3,Sprite1,Sprite2,Sprite3,,,,,,,,,,,,
,Time Is Fuel.sb3,0,,,,,,,,,,,,,,,
,Ocean CO2 .sb3,0,,,,,,,,,,,,,,,
,Cloud Chaser.sb3,0,,,,,,,,,,,,,,,
,Global Warming_ The Game.sb3,2,Sprite2,Sprite4,,,,,,,,,,,,,
,Scuba dive to save the world.sb3,9,Sprite1,Sprite2,Sprite3,Sprite4,Sprite5,Sprite6,Sprite7,Sprite9,Sprite8,,,,,,
