url,filename,number,sprite,deadCode1,deadCode2,deadCode3
,Untitled-2.sb3,1,Lumberjack-241574,wait () seconds,N/A,N/A
,Help the Turtle!.sb3,1,skillie,wait () seconds,N/A,N/A
,Climate Change Game (1).sb3,71,Stage,() > (),N/A,N/A
,Climate Change Game (1).sb3,71,Buildings6,if <> then,N/A,N/A
,Climate Change Game (1).sb3,71,Buildings2,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings3,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings4,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings5,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings7,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings8,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings9,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings11,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings12,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings13,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings14,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings15,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings16,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings17,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings18,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings19,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings20,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings21,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings22,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings23,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings24,start sound ( v),if <> then,N/A
,Climate Change Game (1).sb3,71,Buildings25,start sound ( v),if <> then,N/A
