url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
,284556021.sb3,29,1/4,4/4,4/4,4/4,4/4,3/4,4/4,1/4,4/4,0,0,0,1,None,Default,19,1/3,3/3,3/3,3/3,3/3,3/3,3/3,283
,282426425.sb3,28,4/4,4/4,0/4,4/4,3/4,1/4,4/4,4/4,4/4,0,0,0,0,None,Default,16,3/3,3/3,0/3,3/3,3/3,1/3,3/3,282
,282319298.sb3,26,4/4,3/4,4/4,1/4,4/4,2/4,4/4,2/4,2/4,0,2,1,1,None,Default,18,3/3,3/3,3/3,1/3,3/3,2/3,3/3,88
,249215905.sb3,19,1/4,4/4,1/4,3/4,1/4,2/4,1/4,3/4,3/4,7,0,9,0,None,Default,12,1/3,3/3,1/3,3/3,1/3,2/3,1/3,455
,287926946.sb3,10,1/4,2/4,0/4,2/4,2/4,2/4,1/4,0/4,0/4,0,0,4,1,None,Default,10,1/3,2/3,0/3,2/3,2/3,2/3,1/3,20
,294377461.sb3,19,1/4,4/4,0/4,4/4,4/4,1/4,1/4,0/4,4/4,0,0,10,1,None,Default,12,1/3,3/3,0/3,3/3,3/3,1/3,1/3,312
,290434310.sb3,10,1/4,1/4,0/4,0/4,2/4,2/4,1/4,1/4,2/4,0,1,2,1,None,Default,7,1/3,1/3,0/3,0/3,2/3,2/3,1/3,25
,309878550.sb3,16,1/4,4/4,0/4,4/4,2/4,1/4,4/4,0/4,0/4,0,1,9,1,None,Default,13,1/3,3/3,0/3,3/3,2/3,1/3,3/3,383
,281811375.sb3,23,2/4,3/4,3/4,2/4,2/4,2/4,4/4,2/4,3/4,5,18,4,1,None,Default,17,2/3,3/3,3/3,2/3,2/3,2/3,3/3,157
,276965147.sb3,9,1/4,1/4,0/4,3/4,2/4,1/4,1/4,0/4,0/4,0,0,0,0,None,Default,9,1/3,1/3,0/3,3/3,2/3,1/3,1/3,89
,201698914.sb3,14,1/4,2/4,0/4,2/4,2/4,2/4,1/4,1/4,3/4,0,4,2,1,None,Default,10,1/3,2/3,0/3,2/3,2/3,2/3,1/3,69
