url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation
,birdygethem.sb3,18,1,1,1,2,4,1,4,2,2,0,1,0,0,None,Default,12,1,1,1,2,3,1,3
,GAME SUMMERS TIRABASSI.sb3,19,1,2,1,2,2,4,3,0,4,0,3,0,2,None,Default,14,1,2,1,2,2,3,3
,Cloud collectors .sb3,15,1,1,1,2,2,2,2,0,4,0,1,0,0,None,Default,11,1,1,1,2,2,2,2
,ocean climate .sb3,12,0,0,2,0,1,2,4,2,1,0,0,0,1,None,Default,8,0,0,2,0,1,2,3
,Deforestation Hailey and Remi_s Game.sb3,25,1,4,2,3,2,3,4,2,4,2,1,0,0,None,Default,17,1,3,2,3,2,3,3
,Furnace Wiz (Official Deluxe Edition).sb3,23,4,3,1,3,3,2,4,2,1,0,0,1,1,None,Default,18,3,3,1,3,3,2,3
,Co2 vs. shellfish.sb3,23,1,4,1,3,2,2,4,2,4,5,0,1,0,None,Default,15,1,3,1,3,2,2,3
,Albedo Project.sb3,18,1,1,1,1,4,2,4,2,2,2,0,1,1,None,Default,12,1,1,1,1,3,2,3
,Mariam Jenny .sb3,26,1,4,2,3,2,4,4,2,4,0,2,2,1,None,Default,17,1,3,2,3,2,3,3
,Loggers.sb3,21,1,4,1,3,4,2,4,2,0,0,0,0,3,None,Default,16,1,3,1,3,3,2,3
,Factory Game remix.sb3,22,1,4,1,3,2,2,4,2,3,0,0,0,0,None,Default,15,1,3,1,3,2,2,3
,save the polar bears.sb3,24,4,4,1,3,2,2,4,2,2,0,1,1,0,None,Default,17,3,3,1,3,2,2,3
,_Ellie and Talia Untitled-5.sb3,19,1,1,1,2,2,2,4,2,4,0,0,0,1,None,Default,12,1,1,1,2,2,2,3
,Factories Taking Over The Atmosphere.sb3,17,1,2,0,3,2,2,4,2,1,35,0,11,1,None,Default,13,1,2,0,3,2,2,3
,Yinyao Duan.sb3,17,1,1,1,0,4,2,4,1,3,0,1,3,1,None,Default,11,1,1,1,0,3,2,3
,Rebecca and Ava_s game.sb3,21,1,3,1,3,2,2,4,2,3,0,1,5,1,None,Default,15,1,3,1,3,2,2,3
,Save the Polor Bear.sb3,13,1,3,1,3,2,2,1,0,0,0,0,0,0,None,Default,13,1,3,1,3,2,2,1
,tree game.sb3,19,1,4,1,3,2,2,4,2,0,2,0,3,1,None,Default,15,1,3,1,3,2,2,3
,Untitled-2.sb3,20,1,1,2,3,2,2,4,2,3,0,1,0,1,None,Default,14,1,1,2,3,2,2,3
,Mark Jeremy.sb3,12,1,4,0,3,1,2,1,0,0,0,0,1,0,None,Default,11,1,3,0,3,1,2,1
,Water Levels-LilyStaceyHenri.sb3,19,1,4,1,3,3,2,2,0,3,0,0,0,0,None,Default,15,1,3,1,3,3,2,2
,Scratch Trivia Game remix.sb3,18,1,4,1,2,2,2,4,2,0,2,0,2,0,None,Default,14,1,3,1,2,2,2,3
,SpAcE pOnG (1).sb3,18,3,2,1,2,2,2,4,0,2,0,1,1,0,None,Default,15,3,2,1,2,2,2,3
,"Deforestation By- Esther, Emily, Zero.sb3",25,3,4,1,3,2,2,4,2,4,0,5,4,0,None,Default,17,3,3,1,3,2,2,3
,Carbon Game.sb3,33,3,4,4,4,4,3,4,3,4,4,0,0,0,None,Default,21,3,3,3,3,3,3,3
,Carbon Annihilation.sb3,28,2,4,4,4,4,3,4,2,1,8,47,2,0,None,Default,20,2,3,3,3,3,3,3
,Leyla and Erin-3 remix remix.sb3,18,1,4,1,3,4,2,1,0,2,0,0,7,2,None,Default,14,1,3,1,3,3,2,1
,Deforestation.sb3,10,1,1,1,1,1,2,2,0,1,0,3,0,1,None,Default,9,1,1,1,1,1,2,2
,CCTD - (Climate Change Tower Defense).sb3,28,4,4,4,2,2,2,4,2,4,2,22,0,4,None,Default,18,3,3,3,2,2,2,3
,Roy_ A Life Well Lived.sb3,14,1,4,0,3,1,2,1,0,2,0,0,0,0,None,Default,11,1,3,0,3,1,2,1
,Mitigation - Elias Daniel- F Block.sb3,31,4,4,4,4,3,2,4,2,4,7,1,4,2,None,Default,20,3,3,3,3,3,2,3
,Help the Turtle!.sb3,19,1,1,1,2,2,2,4,2,4,0,1,6,0,None,Default,12,1,1,1,2,2,2,3
,Deforestation1.sb3,17,1,4,1,3,2,2,2,0,2,2,3,3,6,None,Default,14,1,3,1,3,2,2,2
